번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
252,세금,종합소득세 신고 방법 | 프리랜서 종합소득세 납부 기간,종합소득세-신고-방법,종합소득세 신고 방법,프리랜서 종합소득세,종합소득세 납부 기간,종합소득세 신고 대상,프리랜서·자영업자가 꼭 알아야 할 종합소득세 신고 방법과 납부 기간을 알기 쉽게 알려드려요.,종합소득세란 무엇이고 누가 신고해야 하나요?,종합소득세 신고 기간과 절차는?,프리랜서 종합소득세 납부는 어떻게 하나요?,종합소득세 절세 방법은 무엇인가요?,대기,tsx
253,세금,양도소득세 계산 방법 | 1가구 1주택 비과세 조건,양도소득세-계산-방법,양도소득세 계산 방법,1가구 1주택 비과세,양도소득세 신고,양도소득세 납부 기간,부동산 매도 시 양도소득세 계산 방법과 1가구 1주택 비과세 조건을 단계별로 알려드려요.,양도소득세란 무엇인가요?,양도소득세 계산 방법은?,1가구 1주택 비과세 조건은?,양도소득세 신고와 납부 기간은?,대기,tsx
254,세금,부가가치세 신고 기간 | 간이과세자 부가세 신고 방법,부가가치세-신고-기간,부가가치세 신고 기간,간이과세자 부가세 신고,부가세 신고 방법,일반과세자 간이과세자 차이,사업자라면 꼭 알아야 할 부가가치세 신고 기간과 간이과세자 신고 방법을 안내해드려요.,부가가치세란 무엇인가요?,부가가치세 신고 기간은 언제인가요?,간이과세자 부가세 신고 방법은?,일반과세자와 간이과세자 차이는?,대기,tsx
255,세금,증여세 면제 한도 2026 | 자녀 증여세 공제 금액,증여세-면제-한도-2026,증여세 면제 한도 2026,자녀 증여세 공제,증여세 계산 방법,증여세 신고 기한,2026년 증여세 면제 한도와 자녀에게 증여할 때 공제받을 수 있는 금액을 알려드려요.,증여세란 무엇인가요?,2026년 증여세 면제 한도는 얼마인가요?,자녀 증여세 공제 금액은 얼마인가요?,증여세 신고 기한과 방법은?,대기,tsx
256,부동산,전세 보증금 돌려받는 방법 | 전세보증보험 가입 방법,전세-보증금-돌려받는-방법,전세 보증금 돌려받기,전세보증보험 가입,보증금 반환 거부 대처,임차인 권리,집주인이 전세 보증금을 안 돌려줄 때 법적으로 돌려받는 방법과 전세보증보험 가입 방법을 알려드려요.,전세 보증금을 못 받으면 어떻게 하나요?,전세보증보험 가입 방법은?,내용증명 발송은 어떻게 하나요?,법원 임차권 명령 신청은 어떻게 하나요?,대기,tsx
257,부동산,임대차 계약 갱신 청구권 | 2년 추가 연장 조건,임대차-계약-갱신-청구권,임대차 계약 갱신 청구권,2년 추가 연장,전세 계약 갱신 방법,임대차 갱신 거절 사유,전세 계약 갱신 청구권으로 2년 추가 연장하는 조건과 집주인 거절 사유를 알려드려요.,계약 갱신 청구권이란 무엇인가요?,계약 갱신 청구권은 언제 사용하나요?,집주인이 갱신을 거절할 수 있는 사유는?,갱신 후 임대료 인상 한도는?,대기,tsx
258,부동산,부동산 취득세 계산 방법 | 생애 최초 취득세 감면,부동산-취득세-계산-방법,부동산 취득세 계산,취득세 감면 조건,생애 최초 취득세 감면,취득세 납부 기한,부동산 매수 시 취득세 계산 방법과 생애 최초 주택 구매 시 취득세 감면 조건을 알려드려요.,취득세란 무엇이고 언제 내나요?,부동산 취득세 계산 방법은?,생애 최초 취득세 감면 조건은?,취득세 납부 기한과 신고 방법은?,대기,tsx
259,부동산,전입신고 방법 인터넷 | 주민등록 전입신고 기간,전입신고-방법-인터넷,전입신고 방법 인터넷,주민등록 전입신고 기간,전입신고 안 하면,전입신고 대항력,이사 후 전입신고를 인터넷으로 하는 방법과 신고 기간 및 안 했을 때 불이익을 알려드려요.,전입신고란 무엇이고 왜 해야 하나요?,전입신고 인터넷 신청 방법은?,전입신고 기간은 언제까지인가요?,전입신고 안 하면 어떤 불이익이 있나요?,대기,tsx
260,국민연금,국민연금 예상 수령액 조회 방법 | 납부 기간별 연금액,국민연금-예상-수령액-조회,국민연금 예상 수령액,국민연금 수령액 조회,납부 기간별 연금액,국민연금 수령 나이,내가 받을 국민연금 예상 수령액을 조회하는 방법과 납부 기간별 연금액 차이를 알려드려요.,국민연금 예상 수령액은 어떻게 계산하나요?,국민연금 수령액 조회 방법은?,납부 기간에 따라 수령액이 얼마나 다른가요?,국민연금 수령 나이와 조건은?,대기,tsx
261,국민연금,국민연금 임의가입 조건 | 주부 국민연금 가입 방법,국민연금-임의가입-조건,국민연금 임의가입,주부 국민연금 가입,국민연금 임의가입 보험료,전업주부 국민연금,전업주부도 가입할 수 있는 국민연금 임의가입 조건과 보험료 납부 방법을 알려드려요.,국민연금 임의가입이란 무엇인가요?,임의가입 신청 조건은 무엇인가요?,임의가입 보험료는 얼마인가요?,임의가입 신청은 어떻게 하나요?,대기,tsx
