번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
132,건강보험,건강보험 피부양자 탈락 조건 2026 | 금융소득 재산 기준 지역가입자 전환,건강보험-피부양자-탈락-조건-2026,건강보험 피부양자 탈락,금융소득 기준,재산 기준,지역가입자 전환,"건강보험 피부양자에서 탈락하면 보험료가 수십만 원이 될 수 있어요. 2026년 소득·재산 기준을 정리해드려요.",건강보험 피부양자 탈락 조건은 무엇인가요?,건강보험 피부양자 금융소득 기준은 얼마인가요?,건강보험 피부양자 재산 기준은 어떻게 되나요?,건강보험 피부양자 탈락 후 보험료는 얼마인가요?,신규,wiki-md
133,건강보험,퇴직 후 건강보험 임의계속가입 신청 | 지역가입자 보험료 절약 비교,건강보험-임의계속가입-퇴직-후,건강보험 임의계속가입,퇴직 후 건강보험,지역가입자 보험료 비교,임의계속가입 신청,"퇴직하면 건강보험료가 갑자기 올라서 당황하셨나요? 임의계속가입 신청으로 절약하는 방법을 알려드려요.",퇴직 후 건강보험 임의계속가입이란 무엇인가요?,건강보험 임의계속가입 신청 방법은 어떻게 되나요?,건강보험 임의계속가입 보험료는 얼마인가요?,건강보험 임의계속가입과 지역가입자 중 어떤 게 유리한가요?,신규,wiki-md
134,건강보험,건강보험 본인부담상한제 신청 방법 | 소득분위별 의료비 초과 환급,건강보험-본인부담상한제-신청,건강보험 본인부담상한제,소득분위별 한도,의료비 초과 환급,본인부담상한제 신청,"병원비가 너무 많이 나왔다면 건강보험 본인부담상한제로 돌려받을 수 있어요. 소득분위별 한도와 환급 방법을 알려드려요.",건강보험 본인부담상한제란 무엇인가요?,건강보험 본인부담상한제 소득분위별 한도는 얼마인가요?,건강보험 본인부담상한제 신청 방법은 어떻게 되나요?,건강보험 본인부담상한제 환급 금액은 어떻게 계산하나요?,신규,wiki-md
135,건강보험,건강보험 지역가입자 보험료 계산 | 재산 소득 자동차 점수 산정 방법,건강보험-지역가입자-보험료-계산,지역가입자 보험료 계산,재산 점수 산정,소득 자동차 점수,건강보험 산정 방법,"지역가입자 건강보험료가 재산·소득·자동차까지 반영해서 계산된다는 거 알고 계세요? 산정 방법을 알려드려요.",건강보험 지역가입자 보험료 계산 방법은 어떻게 되나요?,지역가입자 건강보험 재산 점수는 어떻게 계산하나요?,지역가입자 건강보험 소득 점수는 어떻게 계산하나요?,지역가입자 건강보험 자동차 점수는 어떻게 되나요?,신규,wiki-md
136,국민연금,국민연금 임의가입 전업주부 조건 | 월 최소 보험료 수령액 손익,국민연금-임의가입-전업주부,국민연금 임의가입,전업주부 가입 조건,월 최소 보험료,수령액 손익 계산,"소득 없는 전업주부도 국민연금에 가입할 수 있다는 거 아시나요? 임의가입 조건과 최소 보험료를 알려드려요.",국민연금 임의가입 자격은 어떻게 되나요?,전업주부 국민연금 임의가입 방법은 어떻게 되나요?,국민연금 임의가입 최소 보험료는 얼마인가요?,국민연금 임의가입 수령액은 얼마나 되나요?,신규,wiki-md
137,국민연금,국민연금 조기노령연금 신청 조건 | 만 60세 수령 감액 손익분기점,국민연금-조기수령-신청-조건,국민연금 조기수령,만 60세 수령 조건,감액 비율 계산,손익분기점,"국민연금을 일찍 받으면 매달 6%씩 감액된다는 거 알고 계셨나요? 조기수령 조건과 손익분기점을 알려드려요.",국민연금 조기노령연금 신청 조건은 무엇인가요?,국민연금 조기수령 감액 비율은 얼마인가요?,국민연금 조기수령 손익분기점은 언제인가요?,국민연금 조기노령연금 신청 방법은 어떻게 되나요?,신규,wiki-md
138,세금,종합소득세 신고 안 하면 가산세 | 무신고 납부불성실 가산세율 계산,종합소득세-신고-안하면-가산세,종합소득세 가산세,무신고 가산세율,납부불성실 가산세,가산세 계산,"종합소득세 신고를 안 하면 20% 가산세가 붙는다는 거 알고 계셨나요? 무신고·납부불성실 가산세율을 알려드려요.",종합소득세 신고 안 하면 가산세가 얼마나 되나요?,종합소득세 무신고 가산세율은 어떻게 되나요?,종합소득세 납부불성실 가산세는 어떻게 계산하나요?,종합소득세 가산세 줄이는 방법이 있나요?,신규,wiki-md
139,세금,간이과세자 기준 매출 2026 | 8천만원 일반과세 전환 부가세 신고,부가가치세-간이과세자-기준-2026,간이과세자 기준 매출,8천만원 일반과세,일반과세 전환 조건,부가가치세 신고,"2026년 간이과세자 매출 기준이 8천만 원이라는 거 알고 계세요? 일반과세로 전환되는 조건과 절차를 알려드려요.",2026년 간이과세자 기준은 얼마인가요?,간이과세자와 일반과세자 차이는 무엇인가요?,간이과세자에서 일반과세자로 전환되는 조건은 무엇인가요?,간이과세자 부가가치세 신고 방법은 어떻게 되나요?,신규,wiki-md
140,세금,프리랜서 3.3% 원천징수 환급 방법 | 종합소득세 신고 필요경비 공제,프리랜서-3.3-원천징수-환급,프리랜서 3.3% 환급,종합소득세 신고,필요경비 공제,원천징수 환급 방법,"프리랜서라면 3.3% 원천징수한 세금을 돌려받을 수 있다는 거 알고 계세요? 종합소득세 신고 방법과 환급 절차를 알려드려요.",프리랜서 3.3% 원천징수 환급이란 무엇인가요?,프리랜서 종합소득세 신고 방법은 어떻게 되나요?,프리랜서 종합소득세 필요경비 공제는 어떻게 되나요?,프리랜서 3.3% 환급 금액은 얼마나 되나요?,신규,wiki-md
141,세금,재산세 납부 기간 2026 | 7월 9월 분납 조건 주택 토지 계산 방법,재산세-납부-기간-2026,재산세 납부 기간,7월 9월 분납,주택 토지 계산,재산세 감면,"재산세는 7월과 9월 두 번 내야 한다는 거 알고 계세요? 2026년 납부 기간과 분납 조건을 알려드려요.",재산세 납부 기간은 언제인가요?,재산세 7월 9월 분납 조건은 무엇인가요?,재산세 주택 토지 계산 방법은 어떻게 되나요?,재산세 감면 조건은 어떻게 되나요?,신규,wiki-md
