번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
232,연말정산,연말정산 월세 공제 조건 | 무주택 세대주 확인 방법,연말정산-월세-공제-조건,연말정산 월세 공제,연말정산 월세 세액공제,무주택 세대주 확인,월세 공제 서류,연말정산 시 월세 세액공제를 받기 위한 조건과 무주택 세대주 확인 방법을 안내합니다.,월세 세액공제란 무엇인가요?,무주택 세대주 확인은 어떻게 하나요?,월세 공제 신청 서류는 무엇인가요?,월세 공제 한도와 공제율은 얼마인가요?,대기,tsx
233,연말정산,연말정산 교육비 공제 대상 | 학원비 연말정산 공제 여부,연말정산-교육비-공제-대상,연말정산 교육비 공제,교육비 세액공제 대상,학원비 연말정산,학원비 공제 여부,연말정산 교육비 세액공제 대상 범위와 학원비가 공제되는지 여부를 상세히 안내합니다.,교육비 세액공제란 무엇인가요?,교육비 공제 대상은 어디까지인가요?,학원비는 연말정산 공제가 되나요?,교육비 공제 한도는 얼마인가요?,대기,tsx
234,연말정산,연말정산 의료비 공제 한도 | 안경 콘택트렌즈 연말정산 방법,연말정산-의료비-공제-한도,연말정산 의료비 공제,의료비 세액공제 한도,안경 공제 연말정산,콘택트렌즈 공제,연말정산 의료비 세액공제 한도와 안경·콘택트렌즈 구입비 공제 방법을 안내합니다.,의료비 세액공제란 무엇인가요?,의료비 공제 한도는 얼마인가요?,안경 구입비는 공제가 되나요?,의료비 공제 신청 방법은 무엇인가요?,대기,tsx
235,연말정산,연말정산 신용카드 공제율 | 체크카드 현금영수증 소득공제 차이,연말정산-신용카드-공제율,연말정산 신용카드 공제,신용카드 체크카드 공제율 비교,현금영수증 소득공제,신용카드 공제 한도,연말정산 신용카드와 체크카드 공제율 차이 및 현금영수증 소득공제 방법을 비교합니다.,신용카드 소득공제란 무엇인가요?,신용카드와 체크카드 공제율은 어떻게 다른가요?,현금영수증 공제율은 얼마인가요?,신용카드 공제 한도와 계산 방법은?,대기,tsx
236,건강보험,건강보험 피부양자 조건 2026 | 피부양자 소득인정액 기준,건강보험-피부양자-조건-2026,건강보험 피부양자 조건,피부양자 소득 기준 2026,건강보험 피부양자 자격,피부양자 탈락 기준,2026년 건강보험 피부양자 자격 조건과 소득·재산 요건 기준을 정리합니다.,건강보험 피부양자란 무엇인가요?,2026년 피부양자 소득 기준은 얼마인가요?,피부양자 자격 상실 조건은 무엇인가요?,피부양자 탈락 시 건강보험료는 얼마나 내나요?,대기,tsx
237,건강보험,건강보험 임의계속가입 조건 | 퇴직 후 건강보험료 줄이는 방법,건강보험-임의계속가입-조건,건강보험 임의계속가입,퇴직 후 건강보험 유지,임의계속가입 신청 방법,임의계속가입 보험료,퇴직 후 건강보험 임의계속가입 조건과 신청 방법 및 보험료 계산을 안내합니다.,건강보험 임의계속가입이란 무엇인가요?,임의계속가입 신청 조건은 무엇인가요?,임의계속가입 보험료는 얼마인가요?,임의계속가입 신청은 어떻게 하나요?,대기,tsx
238,건강보험,지역가입자 건강보험료 줄이는 방법 | 피부양자 전환 조건,지역가입자-건강보험료-줄이는-방법,지역가입자 건강보험료 줄이기,지역보험료 절감 방법,피부양자 전환 조건,건강보험료 낮추는 방법,지역가입자 건강보험료를 합법적으로 줄이는 방법과 피부양자로 전환할 수 있는 조건을 안내합니다.,지역가입자 건강보험료가 왜 비싼가요?,지역보험료를 줄이는 방법은 무엇인가요?,피부양자로 전환하려면 어떤 조건이 필요한가요?,건강보험료 줄이기 위한 재산 관리 방법은?,대기,tsx
239,건강보험,건강보험 본인부담상한액 환급 | 초과 의료비 돌려받는 방법,건강보험-본인부담상한액-환급,건강보험 본인부담상한액,의료비 환급 신청,본인부담상한제 환급 방법,초과 의료비 환급,건강보험 본인부담상한액 초과 시 의료비 환급 신청 방법과 기준을 안내합니다.,본인부담상한제란 무엇인가요?,2026년 본인부담상한액 기준은?,의료비 환급 신청은 어떻게 하나요?,환급금은 얼마나 받을 수 있나요?,대기,tsx
240,금융,개인 신용점수 올리는 방법 | 카드 연체 신용점수 영향,개인-신용점수-올리는-방법,개인 신용점수 올리는 방법,카드 연체 신용점수 영향,신용점수 관리 방법,신용점수 낮을 때 올리기,개인 신용점수를 올리는 실용적인 방법과 카드 연체가 신용점수에 미치는 영향을 알려드립니다.,신용점수란 무엇이고 왜 중요한가요?,신용점수를 올리는 방법은?,카드 연체가 신용점수에 미치는 영향은?,신용점수 장기 관리 전략은?,대기,tsx
241,금융,ISA 계좌 비과세 한도 2026 | 서민형 ISA 가입 조건,isa-계좌-비과세-한도-2026,ISA 계좌 비과세 한도,서민형 ISA 조건,ISA 계좌 종류 비교,ISA 계좌 세금 혜택,2026년 ISA 계좌 비과세 한도와 서민형·일반형·중개형 ISA 조건을 비교합니다.,ISA 계좌란 무엇인가요?,ISA 계좌 비과세 한도는 얼마인가요?,서민형 ISA 가입 조건은 무엇인가요?,ISA 계좌 종류별 장단점 비교는?,대기,tsx
