번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
372,자동차,자동차 담보 대출 방법 | 내 차 담보 대출 한도,자동차-담보-대출-방법,자동차 담보 대출 방법,내 차 담보 대출 한도,차량 담보 대출 조건,자동차 담보 대출 금리,내 차를 담보로 대출받는 방법과 차량 가액에 따른 대출 한도를 알려드려요.,자동차 담보 대출이란 무엇인가요?,자동차 담보 대출 조건은?,대출 한도 계산 방법은?,자동차 담보 대출 신청 방법은?,대기,tsx
373,자동차,자동차 사고 과실 비율 | 교통사고 과실 계산 방법,자동차-사고-과실-비율,자동차 사고 과실 비율,교통사고 과실 계산,과실 비율 이의신청,보험 과실 비율,교통사고 과실 비율이 결정되는 기준과 내 과실 비율을 계산하는 방법을 알려드려요.,교통사고 과실 비율이란?,과실 비율 결정 기준은?,과실 비율에 따라 보험금은?,과실 비율에 이의신청 가능한가요?,대기,tsx
374,자동차,전기차 보조금 신청 2026 | 전기차 구매 보조금 지역별 차이,전기차-보조금-신청-2026,전기차 보조금 신청 2026,전기차 구매 보조금 지역별,국가 전기차 보조금,전기차 지방 보조금,2026년 전기차 구매 시 받을 수 있는 국가·지방 보조금 신청 방법과 지역별 차이를 알려드려요.,전기차 보조금이란 무엇인가요?,2026년 전기차 보조금 금액은?,지역별 전기차 보조금 차이는?,전기차 보조금 신청 방법은?,대기,tsx
375,자동차,자동차 채권 환급 방법 | 자동차 의무 매입 채권 만기 조회,자동차-채권-환급,자동차 채권 환급,의무 매입 채권 만기,자동차 채권 환급 방법,채권 중도 매도,자동차 구매 시 의무 매입한 채권을 만기 후 환급받는 방법을 알려드려요.,자동차 채권 의무 매입이란 무엇인가요?,채권 환급 기간은?,채권 환급 방법은?,채권 중도 매도 방법은?,대기,tsx
376,창업/사업,개인사업자 절세 방법 | 자영업자 세금 줄이는 방법,개인사업자-절세-방법,개인사업자 절세,자영업자 세금 줄이기,노란우산공제 절세,배우자 급여 절세,개인사업자와 자영업자가 합법적으로 세금을 줄일 수 있는 절세 방법을 알려드려요.,개인사업자 절세가 왜 중요한가요?,필요경비로 절세하는 방법은?,배우자 급여 절세 방법은?,노란우산공제로 절세하는 방법은?,대기,tsx
377,창업/사업,법인 설립 방법 | 법인 개인사업자 세금 차이,법인-설립-방법,법인 설립 방법,법인 개인사업자 세금 차이,법인 전환 시점,법인 설립 비용,법인을 설립하는 방법과 개인사업자와 세금이 어떻게 다른지 알려드려요.,법인이란 무엇인가요?,법인 설립 방법은?,법인과 개인사업자 세금 차이는?,법인 전환이 유리한 시점은?,대기,tsx
378,창업/사업,사업자 통장 개설 방법 | 사업용 계좌 홈택스 신고,사업자-통장-개설,사업자 통장 개설 방법,사업용 계좌 홈택스 신고,사업용 계좌 신고 방법,사업자 전용 통장,사업자 전용 통장을 개설하는 방법과 홈택스에 사업용 계좌를 신고하는 방법을 알려드려요.,사업자 통장이란 무엇인가요?,사업자 통장 개설 방법은?,사업용 계좌 홈택스 신고 방법은?,사업용 계좌 사용의 장점은?,대기,tsx
379,창업/사업,프리랜서 사업자 등록 장단점 | 프리랜서 사업자 등록 방법,프리랜서-사업자-등록,프리랜서 사업자 등록,프리랜서 사업자 등록 장단점,프리랜서 부가세 납부,프리랜서 간이과세자,프리랜서도 사업자 등록을 해야 하는지와 등록 시 장단점을 알려드려요.,프리랜서 사업자 등록이 필요한가요?,사업자 등록의 장점은?,사업자 등록의 단점은?,프리랜서 사업자 등록 방법은?,대기,tsx
380,소비자,전자상거래 소비자 피해 신고 | 쇼핑몰 환불 거부 대처,전자상거래-소비자-피해-신고,전자상거래 소비자 피해,쇼핑몰 환불 거부 대처,온라인 쇼핑 피해 신고,소비자 피해 구제,온라인 쇼핑몰에서 피해를 입었을 때 신고하는 방법과 환불 거부 대처 방법을 알려드려요.,전자상거래 소비자 피해란?,피해 신고 방법은?,쇼핑몰 환불 거부 대처 방법은?,피해 구제 신청 절차는?,대기,tsx
381,소비자,중고 거래 사기 신고 방법 | 당근마켓 사기 대처 방법,중고거래-사기-신고-방법,중고 거래 사기 신고,당근마켓 사기 대처,중고 사기 경찰 신고,중고 거래 사기 예방,중고 거래에서 사기를 당했을 때 경찰에 신고하는 방법과 당근마켓 사기 대처 방법을 알려드려요.,중고 거래 사기란?,중고 거래 사기 신고 방법은?,당근마켓 사기 대처 방법은?,사기 예방 방법은?,대기,tsx
