번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
91,실업급여,고용보험료 계산 2026년 요율 | 1.8% 근로자 사업주 부담금,고용보험료,고용보험료 계산,2026 요율,1.8% 부담,사업장 규모별,"2026년 고용보험료 요율이 1.8%라는 사실 알고 계셨나요? 사업장 규모별 추가 부담금까지 계산 방법을 알려드려요.",고용보험료 요율은 몇 퍼센트예요?,고용보험료 사업장 규모별로 부담금이 달라지나요?,고용보험료 월급 300만원이면 얼마를 내나요?,고용보험료 근로자와 사업주가 각각 얼마씩 내나요?,리라이트,wiki-md
92,실업급여,비상근 고문 고용보험 가입 조건 | 근로자성 판단 기준,비상근-고문-고용보험,비상근 고문,고용보험 가입,근로자성 판단,출퇴근 기준,"비상근 고문은 보통 고용보험 가입 대상이 아니라는 거 아시나요? 근로자성 판단 기준과 예외 조건을 알려드려요.",비상근 고문도 고용보험 가입할 수 있나요?,비상근 고문 근로자성 판단 기준이 뭐예요?,비상근 고문 출퇴근을 하면 가입 대상인가요?,비상근 고문과 비상임 이사 차이가 뭐예요?,리라이트,wiki-md
93,실업급여,실업급여 연장급여 3종류 비교 | 훈련연장 개별연장 특별연장 조건,연장급여-훈련연장-개별연장-특별연장-조건-비교,연장급여 3종류,훈련연장급여,개별연장급여,특별연장급여,"실업급여 연장급여가 3종류로 나뉜다는 사실 알고 계셨나요? 훈련연장 100% vs 개별연장 70% 차이를 알려드려요.",실업급여 연장급여 훈련연장급여는 얼마나 받을 수 있나요?,실업급여 연장급여 개별연장과 특별연장 차이가 뭐예요?,실업급여 연장급여 훈련연장은 최대 몇 년까지 가능한가요?,실업급여 연장급여 중복 수급은 되나요?,리라이트,tsx-spoke
94,실업급여,노조활동 해고 부당노동행위 신고 | 블랙리스트 대응 방법,노조활동-해고-블랙리스트-대응,노조활동 해고,부당노동행위 신고,블랙리스트 대응,손해배상 청구,"노조활동으로 해고당하면 부당노동행위로 신고할 수 있다는 거 아시나요? 블랙리스트 대응 방법과 손해배상 청구를 알려드려요.",노조활동 해고는 어떻게 대응하나요?,노조활동 블랙리스트는 어디에 신고하나요?,노조활동 해고 부당노동행위로 처벌 가능한가요?,노조활동 해고 손해배상은 얼마나 받을 수 있나요?,리라이트,wiki-md
95,실업급여,자발적 퇴사 실업급여 받는 조건 | 정당사유 인정 청년 특례,자발적-퇴사-구직급여-받기,자발적 퇴사,실업급여 조건,정당사유 인정,청년 특례,"자발적 퇴사해도 정당사유가 있으면 실업급여 받는다는 거 고민되시죠? 임금체불부터 청년 특례까지 조건을 알려드려요.",자발적 퇴사로 실업급여 받을 수 있나요?,자발적 퇴사 정당사유로 인정되는 경우는 뭐예요?,자발적 퇴사 청년 특례는 뭐예요?,자발적 퇴사 임금체불로 퇴사하면 받을 수 있나요?,리라이트,wiki-md
96,실업급여,계약직 계약만료 실업급여 신청 조건 | 180일 재계약 거부 기준,계약직-실업급여,계약직 실업급여,계약만료 수급,180일 조건,재계약 거부,"계약만료로 퇴사해도 실업급여 받을 수 있다는 사실 알고 계셨나요? 180일 조건과 재계약 거부 시 기준을 알려드려요.",계약직 계약만료되면 실업급여 받을 수 있나요?,계약직 실업급여 180일은 어떻게 계산하나요?,계약직 재계약 제안 거부하면 어떻게 되나요?,계약직 단기 계약도 실업급여 받을 수 있나요?,리라이트,wiki-md
97,실업급여,계약직 퇴사 실업급여 받는 방법 | 비자발적 이직 증빙 서류,계약직-퇴사-실업급여-받는-방법,계약직 퇴사,실업급여 방법,비자발적 이직,증빙 서류,"계약직 퇴사 시 비자발적 이직 증빙이 중요하다는 거 아시나요? 회사 제안 거부 여부부터 신청 방법까지 알려드려요.",계약직 퇴사 실업급여는 어떻게 신청하나요?,계약직 비자발적 이직 증빙은 뭐가 필요한가요?,계약직 회사에서 재계약 제안했으면 못 받나요?,계약직 퇴사 구직활동은 어떻게 증명하나요?,리라이트,wiki-md
98,실업급여,고용24 실업급여 신청 조회 방법 | 온라인 수급자격 통합포털,고용24-실업급여,고용24 실업급여,신청 조회,온라인 방법,수급자격 통합포털,"고용24에서 실업급여 신청부터 조회까지 온라인으로 가능하다는 거 아시나요? 통합포털 사용 방법과 조회 절차를 알려드려요.",고용24에서 실업급여 뭘 할 수 있나요?,고용24 실업급여 온라인 신청은 어떻게 하나요?,고용24에서 실업급여 수급자격 신청도 되나요?,고용24 실업급여 실업인정도 온라인으로 할 수 있나요?,리라이트,wiki-md
99,실업급여,고용24 실업급여 계산기 사용법 | 모의계산 예상 수령액 조회,고용24-실업급여-계산기-사용법,고용24 계산기,실업급여 계산기,모의계산 사용법,예상 수령액,"고용24 계산기로 실업급여를 미리 계산해 볼 수 있다는 거 아시나요? 모의계산 방법과 예상 수령액 조회를 알려드려요.",고용24 실업급여 계산기는 어디서 쓰나요?,고용24 계산기에 퇴직 전 월급만 입력하면 되나요?,고용24 계산기 결과와 실제 수급액 차이가 있나요?,실업급여 60% 계산은 어떻게 되나요?,리라이트,wiki-md
100,실업급여,고용보험 가입기간 합산 조건 | 이전 직장 합산 3년 이내 기준,고용보험-가입기간-합산,고용보험 가입기간,이전 직장 합산,3년 이내 기준,피보험기간 계산,"이전 직장 고용보험 기간을 3년 이내면 합산할 수 있다는 거 아시나요? 합산 조건과 실업급여 수급 시 제외 기준을 알려드려요.",고용보험 이전 직장 기간도 합산되나요?,고용보험 가입기간 3년 이내는 언제부터 계산하나요?,고용보험 실업급여 받은 기간은 제외되나요?,고용보험 여러 직장 다닌 경우 어떻게 계산하나요?,리라이트,wiki-md
