번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
352,건강보험,건강보험 직장가입자 지역가입자 전환 | 퇴직 후 건강보험 선택,직장-지역가입자-전환,직장가입자 지역가입자 전환,퇴직 후 건강보험 선택,건강보험 전환 방법,임의계속가입 비교,퇴직 후 지역가입자 전환과 임의계속가입 중 어떤 게 유리한지 비교해서 알려드려요.,직장가입자와 지역가입자 차이는?,퇴직 후 건강보험은 어떻게 되나요?,지역가입자 전환 시 보험료는?,임의계속가입과 지역가입 중 어떤 게 유리한가요?,대기,tsx
353,건강보험,재난적 의료비 신청 방법 | 건강보험 고액 치료비 지원,재난적-의료비-신청,재난적 의료비 신청,건강보험 고액 치료비 지원,재난적 의료비 지원 조건,재난적 의료비 지원 금액,고액 의료비로 가정 경제가 어려울 때 재난적 의료비 지원 신청 방법을 알려드려요.,재난적 의료비 지원이란 무엇인가요?,재난적 의료비 신청 조건은?,재난적 의료비 신청 방법은?,지원 금액과 한도는 얼마인가요?,대기,tsx
354,건강보험,건강보험 임신 출산 진료비 | 국민행복카드 사용처,건강보험-임신-출산-진료비,건강보험 임신 출산 진료비,국민행복카드 사용처,국민행복카드 신청 방법,임신 진료비 지원 금액,임신과 출산 시 건강보험에서 지원받는 진료비와 국민행복카드 사용처를 알려드려요.,건강보험 임신 진료비 지원이란?,지원 금액과 신청 방법은?,국민행복카드 신청 방법은?,국민행복카드 사용 가능한 곳은?,대기,tsx
355,건강보험,직장가입자 건강보험료 계산 | 회사 근로자 부담 비율,직장가입자-건강보험료-계산,직장가입자 건강보험료 계산,회사 근로자 부담 비율,건강보험료 산정 기준,월급 건강보험료,월급에서 건강보험료가 얼마나 빠지는지와 회사와 근로자가 각각 부담하는 비율을 알려드려요.,직장가입자 건강보험료 기준은?,건강보험료 계산 방법은?,회사와 근로자 부담 비율은?,건강보험료 계산기 사용 방법은?,대기,tsx
356,국민연금,국민연금 실업 크레딧 신청 | 실직자 국민연금 지원,국민연금-실업-크레딧,국민연금 실업 크레딧,실직자 국민연금 지원,실업 크레딧 신청 방법,실업 크레딧 지원 기간,실직 기간에도 국민연금을 낼 수 있도록 지원받는 실업 크레딧 신청 방법을 알려드려요.,국민연금 실업 크레딧이란?,실업 크레딧 신청 자격은?,실업 크레딧 신청 방법은?,지원 기간과 지원 금액은?,대기,tsx
357,국민연금,국민연금 추후납부 신청 방법 | 납부 예외 기간 채우기,국민연금-추후납부-신청,국민연금 추후납부,납부 예외 기간 채우기,국민연금 추납 조건,추후납부 신청 방법,과거에 내지 못한 국민연금 보험료를 나중에 내는 추후납부 신청 방법을 알려드려요.,국민연금 추후납부란 무엇인가요?,추후납부 신청 자격은?,추후납부 신청 방법은?,추후납부 금액과 납부 기간은?,대기,tsx
358,국민연금,국민연금 유족연금 수령 조건 | 배우자 사망 후 연금,국민연금-유족연금-조건,국민연금 유족연금,배우자 사망 후 연금,유족연금 수령 조건,유족연금 지급 금액,배우자가 사망했을 때 유족연금을 받을 수 있는 조건과 지급 금액을 알려드려요.,국민연금 유족연금이란?,유족연금 수령 조건은?,유족연금 지급 금액은?,유족연금 신청 방법은?,대기,tsx
359,국민연금,국민연금 장애연금 신청 방법 | 장애연금 지급 기준,국민연금-장애연금-신청,국민연금 장애연금,장애연금 지급 기준,장애연금 신청 방법,국민연금 장애 등급,질병이나 사고로 장애가 생겼을 때 국민연금 장애연금을 신청하는 방법을 알려드려요.,국민연금 장애연금이란?,장애연금 지급 기준은?,장애연금 신청 방법은?,장애연금 지급 금액은?,대기,tsx
360,세금,전자 세금계산서 발행 방법 | 홈택스 세금계산서 수정 발행,전자세금계산서-발행-방법,전자 세금계산서 발행,홈택스 세금계산서 발행,세금계산서 수정 발행,전자 세금계산서 의무 대상,홈택스에서 전자 세금계산서를 발행하는 방법과 오류 수정 발행 방법을 알려드려요.,전자 세금계산서란 무엇인가요?,전자 세금계산서 의무 발행 대상은?,홈택스 세금계산서 발행 방법은?,세금계산서 수정 발행 방법은?,대기,tsx
361,세금,원천징수 환급 신청 방법 | 원천세 과납 환급 받기,원천징수-환급-신청,원천징수 환급 신청,원천세 과납 환급,원천징수 환급 조건,원천징수 환급 기간,원천징수 세금을 과납했을 때 환급받는 신청 방법과 환급 기간을 알려드려요.,원천징수 환급이란 무엇인가요?,원천세 과납 환급 조건은?,원천징수 환급 신청 방법은?,환급금은 언제 들어오나요?,대기,tsx
