번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
152,연말정산,연말정산 부모님 인적공제 나이 기준 | 소득 100만원 이하 공제 조건,연말정산-부모님-인적공제-나이-기준,연말정산 인적공제,부모님 나이 기준,소득 100만원 이하,인적공제 조건,"부모님을 인적공제 받으려면 소득 기준이 있다는 거 알고 계셨나요? 나이 기준과 소득 100만원 이하 조건을 정리해드려요.",연말정산 부모님 인적공제 나이 기준은 어떻게 되나요?,연말정산 부모님 인적공제 소득 기준은 얼마인가요?,연말정산 부모님 인적공제 따로 사는 경우도 되나요?,연말정산 부모님 인적공제 형제자매 중 누가 받아야 하나요?,신규,wiki-md
153,연말정산,연말정산 의료비 공제 대상 항목 | 안경 보청기 한의원 성형 포함 여부,연말정산-의료비-공제-대상-항목,연말정산 의료비 공제,안경 보청기 공제,한의원 성형 여부,의료비 공제 대상,"연말정산 의료비 공제가 안경은 되고 성형은 안 된다는 거 알고 계셨나요? 공제 가능한 항목과 제외 항목을 알려드려요.",연말정산 의료비 공제 대상 항목은 무엇인가요?,연말정산 안경 콘택트렌즈 의료비 공제가 되나요?,연말정산 한의원 보청기 의료비 공제가 되나요?,연말정산 의료비 공제 한도는 얼마인가요?,신규,wiki-md
154,연말정산,연말정산 신용카드 소득공제 한도 2026 | 체크카드 현금영수증 공제율 차이,연말정산-신용카드-소득공제-한도-2026,신용카드 소득공제 한도,체크카드 공제율,현금영수증 공제율,공제율 차이,"신용카드보다 체크카드 공제율이 2배 높다는 거 알고 계셨나요? 2026년 한도와 공제율 차이를 알려드려요.",연말정산 신용카드 소득공제 한도는 얼마인가요?,신용카드와 체크카드 공제율 차이는 얼마인가요?,연말정산 신용카드 소득공제 계산 방법은 어떻게 되나요?,연말정산 신용카드 공제 추가 한도 항목은 무엇인가요?,신규,wiki-md
155,연말정산,연말정산 주택청약 소득공제 조건 | 무주택 세대주 납입금 240만원 한도,연말정산-주택청약-소득공제-조건,주택청약 소득공제,무주택 세대주 조건,납입금 240만원,소득공제 한도,"주택청약 납입금을 연말정산에서 공제받으려면 조건이 있다는 거 아시나요? 무주택 세대주 조건과 한도를 알려드려요.",연말정산 주택청약 소득공제 조건은 무엇인가요?,연말정산 주택청약 소득공제 한도는 얼마인가요?,연말정산 주택청약 소득공제 계산 방법은 어떻게 되나요?,연말정산 주택청약 소득공제 서류는 무엇인가요?,신규,wiki-md
156,부동산,전입신고 확정일자 같이 해야 하나 | 대항력 우선변제권 차이,전입신고-확정일자-대항력-차이,전입신고 확정일자,대항력 우선변제권,전입신고 날짜,확정일자 효력,"전입신고와 확정일자를 같은 날 해도 효력이 다르다는 거 알고 계셨나요? 대항력과 우선변제권 차이를 알려드려요.",전입신고와 확정일자 같이 해야 하나요?,전입신고 대항력은 언제 발생하나요?,확정일자 우선변제권은 언제 발생하나요?,전입신고와 확정일자 중 어떤 게 더 중요한가요?,신규,wiki-md
157,부동산,전세 계약 전 등기부등본 확인 방법 | 근저당 가압류 위험 체크리스트,전세-계약-전-등기부등본-확인,등기부등본 확인 방법,근저당 가압류 확인,전세 계약 위험,등기부등본 발급,"전세 계약 전 등기부등본에서 근저당이 있으면 보증금을 못 받을 수 있어요. 확인 방법과 위험 체크를 알려드려요.",전세 계약 전 등기부등본 확인 방법은 어떻게 되나요?,등기부등본 근저당 가압류는 어떻게 확인하나요?,전세 계약 전 등기부등본 위험 신호는 무엇인가요?,전세 계약 전 등기부등본 발급 방법은 어떻게 되나요?,신규,wiki-md
158,부동산,분양권 전매 제한 기간 2026 | 수도권 조정지역 비조정지역 차이,분양권-전매-제한-기간-2026,분양권 전매 제한,수도권 전매 기간,조정지역 비조정지역,분양권 전매 가능,"분양권 전매 제한 기간이 지역마다 다르다는 거 알고 계셨나요? 2026년 수도권·조정지역·비조정지역 기간을 알려드려요.",분양권 전매 제한 기간 2026년 기준은 어떻게 되나요?,수도권 분양권 전매 제한 기간은 얼마인가요?,조정지역 분양권 전매 제한은 어떻게 되나요?,분양권 전매 제한 예외 조건은 무엇인가요?,신규,wiki-md
159,부동산,임대사업자 자동말소 이후 세금 | 양도세 취득세 혜택 유지 여부,임대사업자-자동말소-이후-세금,임대사업자 자동말소,양도세 혜택 유지,취득세 추징,임대사업자 말소 세금,"임대사업자가 자동말소되면 세금 혜택이 사라진다는 거 알고 계셨나요? 양도세·취득세 영향을 알려드려요.",임대사업자 자동말소란 무엇인가요?,임대사업자 자동말소 후 양도세 혜택은 어떻게 되나요?,임대사업자 자동말소 후 취득세 추징이 되나요?,임대사업자 자동말소 후 어떻게 해야 하나요?,신규,wiki-md
160,법률,내용증명 작성 방법 효력 | 발송 후 법적 효과 기간 활용,내용증명-작성-방법-효력,내용증명 작성 방법,법적 효력,발송 방법,내용증명 효과,"내용증명이 법적 효력이 없다고 알고 계셨나요? 그래도 꼭 필요한 이유와 작성 방법을 알려드려요.",내용증명이란 무엇이고 효력은 어떻게 되나요?,내용증명 작성 방법은 어떻게 되나요?,내용증명 발송 방법은 어떻게 되나요?,내용증명 발송 후 법적 효과는 무엇인가요?,신규,wiki-md
161,법률,소액사건 소장 작성 방법 | 3000만원 이하 지급명령 간이재판 차이,소액사건-소장-작성-방법,소액사건 소장,3000만원 이하 소송,지급명령 차이,간이재판 절차,"3000만 원 이하 소액사건은 일반 소송보다 간단하다는 거 알고 계셨나요? 소장 작성 방법과 지급명령 차이를 알려드려요.",소액사건 소장 작성 방법은 어떻게 되나요?,소액사건 지급명령과 차이는 무엇인가요?,소액사건 소송 비용은 얼마인가요?,소액사건 처리 기간은 얼마나 걸리나요?,신규,wiki-md
