번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
101,실업급여,야유회 사고 산재보상 받는 방법 | 업무 관련성 인정 기준,야유회-사고-산재보상-받기,야유회 사고,산재보상 인정,업무 관련성,회식 사고,"야유회 중 사고가 나면 산재보상 받을 수 있다는 거 아시나요? 업무 관련성 인정 기준과 신청 방법을 알려드려요.",야유회 사고도 산재로 인정받나요?,야유회 사고 업무 관련성 판단 기준은 뭐예요?,야유회 사고와 회식 사고 차이가 있나요?,야유회 사고 산재 신청 시 증빙서류는 뭐가 필요한가요?,리라이트,wiki-md
102,실업급여,외국인근로자 산재보험 적용 범위 | 체류자격 무관 신청 방법,외국인근로자-산재보험-받기,외국인근로자 산재보험,신청 방법,체류자격 무관,귀국 후 신청,"외국인근로자는 체류자격과 무관하게 산재보험 받는다는 사실 알고 계셨나요? 신청 방법부터 귀국 후 절차까지 알려드려요.",외국인근로자 체류자격 없어도 산재보험 신청할 수 있나요?,외국인근로자 산재보험 신청은 어떻게 하나요?,외국인근로자 귀국 후에도 산재보험 신청 가능한가요?,외국인근로자 산재보험 언어 장벽 도움받을 수 있나요?,리라이트,wiki-md
103,실업급여,육아 시간선택제 일자리 신청 방법 | 근로시간 단축 급여 보전,육아-시간선택제-일자리,시간선택제 일자리,육아 근로시간,급여 보전,신청 방법,"육아로 근로시간 줄여도 급여 보전받는다는 거 아시나요? 시간선택제 신청 방법과 2026년 상한액을 알려드려요.",시간선택제 일자리는 뭐예요?,시간선택제 급여는 얼마나 보전되나요?,시간선택제 2026년 상한액은 얼마예요?,시간선택제 신청은 어떻게 하나요?,리라이트,wiki-md
105,실업급여,장애인고용부담금 감면 계산 방법 | 연계고용 부담기초액 기준,장애인고용부담금-감면-계산,장애인고용부담금,감면 계산,연계고용,부담기초액,"장애인고용부담금을 연계고용으로 감면받을 수 있다는 거 아시나요? 부담기초액 계산 방법과 감면 한도를 알려드려요.",장애인고용부담금은 어떻게 계산하나요?,장애인고용부담금 연계고용 감면은 뭐예요?,장애인고용부담금 감면 한도는 얼마까지인가요?,장애인고용부담금 2026년 납부기한은 언제예요?,리라이트,wiki-md
106,퇴직금,퇴직금 지연이자 계산 방법 | 14일 기한 연 20% 적용 기준,퇴직급여-지급-지연이자-받기,퇴직금 지연이자,계산 방법,14일 기한,연 20% 적용,"퇴직금을 14일 안에 못 받으면 연 20% 이자가 붙어요. 지연이자 계산 방법과 청구 절차를 알려드려요.",퇴직금 지연이자 14일 기한은 언제부터 계산하나요?,퇴직금 지연이자 연 20%는 어떻게 계산하나요?,퇴직금 지연이자 합의로 기한 연장하면 면제되나요?,퇴직금 지연이자 청구는 어떻게 하나요?,리라이트,wiki-md
107,실업급여,파견근로자 2년 후 정규직 전환 | 직접 고용 의무 전환지원금 신청,파견근로자-2년-후-고용,파견근로자 2년,정규직 전환,직접 고용 의무,전환지원금,"파견근로자 2년 후 정규직 전환하면 월 60만원 지원받는다는 거 아시나요? 직접 고용 의무와 전환지원금 신청을 알려드려요.",파견근로자 2년 후 자동으로 정규직 되나요?,파견근로자 직접 고용 의무는 뭐예요?,파견근로자 전환지원금은 얼마예요?,파견근로자 2026년 지원 조건은 뭐예요?,리라이트,wiki-md
108,실업급여,학력 위조 해고 정당성 판단 | 업무 관련성 판례 기준,학력-거짓-해고-정당성,학력 위조,해고 정당성,업무 관련성,판례 기준,"학력 위조해도 업무와 무관하면 해고 부당하다는 판례 있다는 거 아시나요? 해고 정당성 판단 기준을 알려드려요.",학력 위조는 무조건 해고 사유인가요?,학력 위조 해고 판례 기준은 뭐예요?,학력 위조 업무 관련성은 어떻게 판단하나요?,학력 무관 채용이면 어떻게 되나요?,리라이트,wiki-md
109,퇴직금,간이대지급금 신청 방법 절차 | 체불임금 최대 700만원 한도 기준,간이대지급금-신청-방법-절차,간이대지급금,신청 방법,700만원 한도,체불확인서,"간이대지급금으로 임금체불 최대 700만원 받는다는 거 아시나요? 신청 방법부터 체불확인서까지 절차를 알려드려요.",간이대지급금은 뭐예요?,간이대지급금 700만원 한도는 어떻게 계산하나요?,간이대지급금 체불확인서는 어떻게 받나요?,간이대지급금 신청은 어디에 하나요?,리라이트,wiki-md
110,퇴직금,간이대지급금 지급액 상한 기준 | 임금 퇴직금 합산 한도 계산,간이대지급금-지급액-상한액,간이대지급금 지급액,상한 기준,임금 퇴직금,합산 한도,"간이대지급금은 임금과 퇴직금 합쳐 최대 1000만원이라는 사실 알고 계셨나요? 지급액 계산과 상한 기준을 알려드려요.",간이대지급금 지급액 상한은 얼마예요?,간이대지급금 임금과 퇴직금 따로 계산하나요?,간이대지급금 1000만원 한도는 어떻게 적용되나요?,간이대지급금 지급 범위는 어디까지예요?,리라이트,wiki-md
111,퇴직금,대지급금 금액 계산 방법 | 연차 상여금 통상임금 포함 여부,대지급금-금액-계산-연차-상여금,대지급금 금액,계산 방법,연차 상여금,통상임금 포함,"대지급금에 연차수당과 상여금이 포함된다는 거 아시나요? 통상임금 계산 방법과 지급 상한액을 알려드려요.",대지급금에 연차수당도 포함되나요?,대지급금 상여금은 어떻게 계산하나요?,대지급금 통상임금 범위는 어디까지예요?,대지급금 지급 상한액은 얼마예요?,리라이트,wiki-md
