번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
312,건강보험,건강보험 환급금 조회 방법 | 건강보험 과오납 환급 신청,건강보험-환급금-조회,건강보험 환급금 조회,건강보험 과오납 환급,건강보험 환급금 신청,건강보험 환급 받는 방법,건강보험료를 더 냈을 때 환급금을 조회하고 돌려받는 신청 방법을 알려드려요.,건강보험 환급금이란 무엇인가요?,건강보험 환급금 조회 방법은?,과오납 환급 신청은 어떻게 하나요?,환급금 지급까지 얼마나 걸리나요?,대기,tsx
313,건강보험,직장 건강보험 피부양자 등록 방법 | 가족 건강보험 추가,직장-건강보험-피부양자-등록,직장 건강보험 피부양자 등록,가족 건강보험 추가,피부양자 등록 서류,피부양자 신청 방법,직장 건강보험에 가족을 피부양자로 등록하는 방법과 필요한 서류를 알려드려요.,직장 건강보험 피부양자 등록이란?,피부양자 등록 자격 조건은?,피부양자 등록 서류는?,피부양자 등록 신청 방법은?,대기,tsx
314,건강보험,건강보험료 납부 유예 신청 | 건강보험료 분납 방법,건강보험료-납부-유예-신청,건강보험료 납부 유예,건강보험료 분납 신청,건강보험료 납부 연기,보험료 못 낼 때,생활이 어려울 때 건강보험료 납부 유예 또는 분납 신청하는 방법을 알려드려요.,건강보험료 납부 유예란 무엇인가요?,납부 유예 신청 조건은?,건강보험료 분납 신청 방법은?,납부 유예 기간은 얼마나 되나요?,대기,tsx
315,건강보험,건강보험 해외 체류 신청 | 해외 거주 건강보험료 면제 조건,건강보험-해외-체류-신청,건강보험 해외 체류 신청,해외 거주 건강보험료 면제,해외 체류 건강보험 신청,해외 이민 건강보험,장기 해외 거주 시 건강보험료 면제 신청 방법과 귀국 후 재가입 절차를 알려드려요.,해외 체류 건강보험 신청이란?,장기 해외 거주 신청 조건은?,해외 체류 중 보험료는 어떻게 되나요?,귀국 후 건강보험 재가입 방법은?,대기,tsx
316,세금,상속세 면제 한도 | 상속세 계산 방법,상속세-면제-한도,상속세 면제 한도,상속세 계산 방법,상속세 신고 기한,상속세 공제 항목,부모님이 돌아가셨을 때 납부해야 할 상속세 면제 한도와 계산 방법을 알려드려요.,상속세란 무엇이고 누가 내나요?,상속세 면제 한도는 얼마인가요?,상속세 계산 방법은?,상속세 신고 기한과 방법은?,대기,tsx
317,세금,재산세 종합부동산세 차이 | 부동산 보유세 계산 방법,재산세-종합부동산세-차이,재산세 종합부동산세 차이,부동산 보유세 계산,재산세 납부 기간,종합부동산세 기준,부동산을 보유하면 내야 하는 재산세와 종합부동산세의 차이와 계산 방법을 알려드려요.,재산세란 무엇이고 언제 내나요?,종합부동산세란 무엇인가요?,재산세와 종부세 계산 방법은?,재산세 납부 기간은 언제인가요?,대기,tsx
318,세금,금융소득 종합과세 기준 | 이자 배당 소득세 계산,금융소득-종합과세-기준,금융소득 종합과세 기준,이자 배당 소득세 계산,금융소득 2000만원 초과,금융소득 분리과세,이자와 배당금이 연 2000만 원을 넘으면 종합과세 대상이 되는 기준과 세금 계산법을 알려드려요.,금융소득 종합과세란 무엇인가요?,종합과세 기준 금액은 얼마인가요?,이자 배당 소득세 계산 방법은?,금융소득 종합과세를 줄이는 방법은?,대기,tsx
319,세금,해외 근로소득 세금 신고 | 해외 거주자 세금 환급 방법,해외-근로소득-세금-신고,해외 근로소득 세금,해외 거주자 세금 신고,해외 근무 소득 신고,해외 이중과세 방지,해외에서 일하며 받는 급여에 대한 세금 신고 방법과 이중과세 방지 협약으로 환급받는 방법을 알려드려요.,해외 근로소득 세금이란 무엇인가요?,해외 거주자 세금 신고 방법은?,이중과세 방지 협약이란 무엇인가요?,해외 근로소득 세금 환급 방법은?,대기,tsx
320,복지,의료급여 신청 방법 | 의료급여 1종 2종 차이,의료급여-신청-방법,의료급여 신청 방법,의료급여 1종 2종 차이,의료급여 대상,의료급여 본인부담금,기초생활수급자 등 의료급여 신청 방법과 1종·2종의 차이점을 알려드려요.,의료급여란 무엇인가요?,의료급여 신청 대상은?,의료급여 1종과 2종의 차이는?,의료급여 신청 방법은?,대기,tsx
321,복지,주거급여 신청 방법 | 주거급여 지급 금액 2026,주거급여-신청-방법-2026,주거급여 신청 방법,주거급여 지급 금액 2026,주거급여 대상 조건,주거급여 수급자 조건,2026년 주거급여 신청 방법과 지역별 지급 금액 기준을 알려드려요.,주거급여란 무엇인가요?,주거급여 신청 대상 조건은?,2026년 주거급여 지급 금액은?,주거급여 신청 방법은?,대기,tsx
