번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
172,세금,개인사업자 폐업 신고 방법 | 부가세 최종 신고 세금 정리 절차,개인사업자-폐업-신고-방법,개인사업자 폐업 신고,부가세 최종 신고,세금 정리 절차,폐업 신고 방법,"가게 문을 닫기 전 세무서에 폐업 신고를 해야 한다는 거 알고 계세요? 부가세 최종 신고와 세금 정리 절차를 알려드려요.",개인사업자 폐업 신고 방법은 어떻게 되나요?,개인사업자 폐업 시 부가세 최종 신고는 어떻게 하나요?,개인사업자 폐업 후 세금 정리 절차는 어떻게 되나요?,개인사업자 폐업 신고 기한은 언제까지인가요?,신규,wiki-md
173,세금,주택 임대소득 분리과세 신청 방법 | 2000만원 이하 세율 14% 계산,주택-임대소득-분리과세-신청,임대소득 분리과세,2000만원 이하 임대,14% 세율 계산,분리과세 신청,"주택 임대소득이 2000만 원 이하라면 분리과세로 세금이 훨씬 줄어들 수 있어요. 신청 방법과 계산법을 알려드려요.",주택 임대소득 분리과세 신청 조건은 무엇인가요?,주택 임대소득 분리과세 세율은 얼마인가요?,주택 임대소득 분리과세 계산 방법은 어떻게 되나요?,주택 임대소득 분리과세와 종합과세 중 어떤 게 유리한가요?,신규,wiki-md
174,세금,종합부동산세 1주택 고령자 공제 | 장기보유 세액공제 합산 한도 방법,종합부동산세-1주택-고령자-공제,종합부동산세 고령자 공제,장기보유 세액공제,1주택 합산 한도,세액공제 방법,"1주택자 고령자라면 종합부동산세를 최대 80%까지 공제받을 수 있다는 거 알고 계셨나요? 조건과 한도를 알려드려요.",종합부동산세 1주택 고령자 공제 조건은 무엇인가요?,종합부동산세 장기보유 세액공제는 어떻게 되나요?,종합부동산세 고령자 장기보유 합산 한도는 얼마인가요?,종합부동산세 1주택 세액공제 신청 방법은 어떻게 되나요?,신규,wiki-md
175,세금,부가가치세 매입세액 불공제 항목 | 접대비 승용차 공제 안 되는 이유,부가가치세-매입세액-불공제-항목,매입세액 불공제,접대비 불공제,승용차 공제 안 됨,불공제 이유,"사업 관련 지출이라도 부가세 공제가 안 되는 항목이 있다는 거 알고 계셨나요? 접대비·승용차 불공제 이유를 알려드려요.",부가가치세 매입세액 불공제 항목은 무엇인가요?,접대비 부가세 공제가 안 되는 이유는 무엇인가요?,업무용 승용차 부가세 공제가 안 되는 이유는 무엇인가요?,부가가치세 매입세액 공제가 되는 항목은 무엇인가요?,신규,wiki-md
176,복지,긴급복지지원 신청 조건 방법 | 갑작스러운 위기 현금 식품 지원,긴급복지지원-신청-조건,긴급복지지원 신청,갑작스러운 위기,현금 식품 지원,긴급복지 조건,"갑자기 실직하거나 질병으로 생계가 어려워졌다면 긴급복지지원을 받을 수 있어요. 신청 조건과 방법을 알려드려요.",긴급복지지원 신청 조건은 무엇인가요?,긴급복지지원 지원 종류와 금액은 어떻게 되나요?,긴급복지지원 신청 방법은 어떻게 되나요?,긴급복지지원 신청 기한은 언제까지인가요?,신규,wiki-md
177,복지,기초연금 부부 감액 기준 | 둘 다 받으면 20% 감액 계산 방법,기초연금-부부-감액-기준,기초연금 부부 감액,20% 감액 기준,부부 동시 수급,감액 계산 방법,"기초연금을 부부가 함께 받으면 20%가 깎인다는 거 알고 계셨나요? 감액 기준과 계산 방법을 알려드려요.",기초연금 부부 감액 기준은 무엇인가요?,기초연금 부부 감액 20%는 어떻게 계산하나요?,기초연금 부부 중 한 명만 받을 때 금액은 얼마인가요?,기초연금 부부 감액 예외 조건이 있나요?,신규,wiki-md
178,복지,장애인연금 장애수당 차이 | 신청 조건 지급 금액 비교,장애인연금-장애수당-차이,장애인연금 장애수당,신청 조건 차이,지급 금액 비교,장애인 급여 종류,"장애인연금과 장애수당이 다르다는 거 알고 계셨나요? 신청 조건과 지급 금액을 비교해서 알려드려요.",장애인연금과 장애수당 차이는 무엇인가요?,장애인연금 신청 조건은 무엇인가요?,장애수당 신청 조건은 무엇인가요?,장애인연금과 장애수당 지급 금액은 얼마인가요?,신규,wiki-md
179,복지,에너지바우처 신청 자격 2026 | 저소득층 전기 가스 지원 금액 방법,에너지바우처-신청-자격-2026,에너지바우처 신청,저소득층 전기 가스,지원 금액,신청 방법,"에너지바우처로 전기·가스비를 지원받을 수 있다는 거 아시나요? 2026년 신청 자격과 지원 금액을 알려드려요.",에너지바우처 신청 자격은 무엇인가요?,에너지바우처 지원 금액은 얼마인가요?,에너지바우처 신청 방법은 어떻게 되나요?,에너지바우처 사용 기간은 언제까지인가요?,신규,wiki-md
180,부동산,재개발 재건축 차이 | 조합원 분담금 입주권 프리미엄 계산,재개발-재건축-차이,재개발 재건축 차이,조합원 분담금,입주권 프리미엄,재개발 재건축 비교,"재개발과 재건축이 어떻게 다른지 헷갈리셨나요? 조합원 분담금과 입주권 프리미엄 계산 방법을 알려드려요.",재개발과 재건축 차이는 무엇인가요?,재개발 재건축 조합원 분담금은 어떻게 계산하나요?,재개발 재건축 입주권 프리미엄이란 무엇인가요?,재개발 재건축 투자 시 주의사항은 무엇인가요?,신규,wiki-md
181,부동산,청약 당첨 후 포기하면 | 불이익 패널티 기간 재청약 제한,청약-당첨-후-포기-불이익,청약 당첨 포기,불이익 패널티,재청약 제한 기간,청약 포기 기준,"청약에 당첨됐다가 포기하면 1년간 청약이 막힌다는 거 알고 계셨나요? 불이익과 패널티 기간을 알려드려요.",청약 당첨 후 포기하면 어떤 불이익이 있나요?,청약 당첨 포기 후 재청약 제한 기간은 얼마인가요?,청약 당첨 포기와 미계약 차이는 무엇인가요?,청약 당첨 포기가 유리한 경우는 어떤 경우인가요?,신규,wiki-md
