번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
272,자동차,자동차세 계산 방법 | 자동차세 연납 할인 신청,자동차세-계산-방법,자동차세 계산 방법,자동차세 연납 할인,자동차세 납부 기간,자동차세 조회,자동차세를 얼마나 내야 하는지 계산하는 방법과 연납 신청으로 최대 10% 할인받는 방법을 알려드려요.,자동차세는 어떻게 계산하나요?,자동차세 연납이란 무엇인가요?,연납 신청 방법과 할인율은?,자동차세 납부 기간과 방법은?,대기,tsx
273,자동차,자동차 보험료 줄이는 방법 | 자동차 보험 다이렉트 가입 방법,자동차-보험료-줄이는-방법,자동차 보험료 줄이기,자동차 보험 다이렉트 가입,자동차 보험 할인 특약,자동차 보험 갱신,자동차 보험료를 합법적으로 줄이는 방법과 다이렉트 가입으로 더 저렴하게 드는 방법을 알려드려요.,자동차 보험료가 결정되는 기준은?,자동차 보험료 줄이는 방법은?,다이렉트 자동차 보험 가입 방법은?,자동차 보험 할인 특약 종류와 조건은?,대기,tsx
274,자동차,중고차 취득세 계산 방법 | 중고차 명의이전 비용,중고차-취득세-계산,중고차 취득세,중고차 명의이전 비용,중고차 구매 세금,중고차 취득세 감면,중고차 구매 시 내야 하는 취득세 계산 방법과 명의이전에 드는 전체 비용을 알려드려요.,중고차 취득세란 무엇인가요?,중고차 취득세 계산 방법은?,중고차 명의이전 비용은 얼마인가요?,취득세 감면받는 방법이 있나요?,대기,tsx
275,자동차,자동차 말소 등록 방법 | 폐차 환급금 받는 방법,자동차-말소-등록-방법,자동차 말소 등록,폐차 환급금,폐차 신청 방법,자동차 말소 비용,폐차 신청 후 말소 등록하는 방법과 받을 수 있는 환급금 종류를 알려드려요.,자동차 말소 등록이란 무엇인가요?,폐차 신청 방법과 절차는?,폐차 환급금은 얼마나 받나요?,자동차세 환급도 받을 수 있나요?,대기,tsx
276,창업/사업,사업자 등록 방법 | 사업자 등록 필요 서류,사업자-등록-방법,사업자 등록 방법,사업자 등록 서류,온라인 사업자 등록,사업자 등록 비용,처음 사업을 시작할 때 온라인으로 사업자 등록하는 방법과 필요한 서류를 단계별로 알려드려요.,사업자 등록은 왜 해야 하나요?,사업자 등록 신청 방법은?,사업자 등록 필요 서류는?,사업자 등록 후 바로 해야 할 일은?,대기,tsx
277,창업/사업,간이과세자 일반과세자 차이 | 2026 간이과세자 기준 매출액,간이과세자-일반과세자-차이,간이과세자 일반과세자 차이,간이과세자 기준 매출,간이과세자 세금,간이과세자 전환 조건,간이과세자와 일반과세자의 차이와 2026년 간이과세자 기준 매출액 및 세금 계산법을 알려드려요.,간이과세자란 무엇인가요?,2026년 간이과세자 기준 매출액은?,간이과세자 세금 계산 방법은?,간이과세자와 일반과세자 중 어떤 게 유리한가요?,대기,tsx
278,창업/사업,소상공인 정책자금 신청 방법 | 소상공인 저금리 대출 조건,소상공인-정책자금-신청,소상공인 정책자금,소상공인 저금리 대출,소상공인 대출 조건,소상공인 지원금 신청,소상공인이 이용할 수 있는 정책자금 대출 신청 방법과 저금리 대출 조건을 알려드려요.,소상공인 정책자금이란 무엇인가요?,신청 자격과 조건은?,소상공인 정책자금 신청 방법은?,대출 금리와 한도는 얼마인가요?,대기,tsx
279,창업/사업,폐업 신고 방법 | 폐업 후 세금 환급 신청,폐업-신고-방법,폐업 신고 방법,폐업 후 세금 환급 신청,폐업 신고 절차,사업자 폐업 비용,사업 정리 시 폐업 신고하는 방법과 폐업 후 세금을 환급받는 신청 방법을 알려드려요.,폐업 신고는 어떻게 하나요?,폐업 신고 필요 서류는?,폐업 후 환급받는 세금은?,폐업 후 4대보험 처리는 어떻게 하나요?,대기,tsx
280,노후/은퇴,퇴직연금 IRP 세액공제 | IRP 연금 수령 방법,퇴직연금-irp-세액공제,IRP 세액공제,퇴직연금 IRP,IRP 연금 수령,IRP 납입 한도,퇴직연금 IRP 납입으로 받을 수 있는 세액공제 한도와 나중에 연금으로 수령하는 방법을 알려드려요.,IRP란 무엇이고 어떻게 가입하나요?,IRP 세액공제 한도는 얼마인가요?,IRP에서 연금 수령하는 방법은?,IRP 중도 인출 시 세금은?,대기,tsx
281,노후/은퇴,개인연금 세액공제 한도 | 연금저축 펀드 수령 시 세금,개인연금-세액공제-한도,개인연금 세액공제,연금저축 세액공제 한도,연금저축 펀드 세금,개인연금 수령 세금,개인연금 납입으로 받을 수 있는 세액공제 한도와 연금저축 펀드 수령 시 붙는 세금을 알려드려요.,개인연금 세액공제란 무엇인가요?,세액공제 한도는 얼마인가요?,연금저축 펀드 수령 시 세금은?,연금저축과 IRP 중 어느 것이 유리한가요?,대기,tsx
282,노후/은퇴,DC형 DB형 퇴직연금 차이 | 퇴직연금 유형 선택 방법,dc형-db형-퇴직연금-차이,DC형 DB형 차이,퇴직연금 DC DB,확정급여형 확정기여형,퇴직연금 선택 방법,퇴직연금 DC형과 DB형의 차이와 어떤 유형이 나에게 유리한지 선택하는 방법을 알려드려요.,퇴직연금 DC형이란 무엇인가요?,퇴직연금 DB형이란 무엇인가요?,DC형과 DB형 중 어떤 것이 유리한가요?,퇴직연금 유형 변경은 가능한가요?,대기,tsx
283,노후/은퇴,연금저축 중도 해지 세금 | 연금저축 해지 환급금 계산,연금저축-중도-해지-세금,연금저축 중도 해지,연금저축 해지 세금,연금저축 해지 환급금,연금저축 해지 불이익,연금저축을 중도 해지할 때 내야 하는 세금과 해지 환급금 계산 방법을 알려드려요.,연금저축 중도 해지란 무엇인가요?,중도 해지 시 세금은 얼마나 내나요?,해지 환급금 계산 방법은?,해지 대신 선택할 수 있는 방법은?,대기,tsx
284,청년 정책,청년내일저축계좌 신청 방법 | 청년내일저축계좌 만기 수령금,청년내일저축계좌-신청,청년내일저축계좌 신청,청년내일저축계좌 만기 수령금,청년내일저축계좌 신청 시기,청년 저축 지원,2026년 청년내일저축계좌 신청 방법과 만기 시 받을 수 있는 수령금 계산 방법을 알려드려요.,청년내일저축계좌란 무엇인가요?,2026년 가입 조건은?,신청 방법과 시기는?,만기 시 수령금은 얼마나 되나요?,대기,tsx
285,청년 정책,청년 일자리 도약 장려금 신청 | 청년 채용 기업 지원금 조건,청년-일자리-도약-장려금,청년 일자리 도약 장려금,청년 채용 지원금,청년 고용 장려금,청년 취업 지원금,청년을 채용한 기업과 청년 근로자가 받을 수 있는 일자리 도약 장려금 신청 방법을 알려드려요.,청년 일자리 도약 장려금이란?,지원 대상 기업 조건은?,청년 근로자 자격 조건은?,장려금 신청 방법과 지급 금액은?,대기,tsx
286,청년 정책,청년 버팀목 전세 대출 조건 | 청년 전세 대출 금리 2026,청년-버팀목-전세-대출-조건,청년 버팀목 전세 대출,청년 전세 대출 금리,청년 전세 대출 조건,청년 보증금 대출,2026년 청년 버팀목 전세 대출 가입 조건과 금리 및 한도를 알려드려요.,청년 버팀목 전세 대출이란?,신청 자격 조건은?,2026년 대출 금리는?,신청 방법과 준비 서류는?,대기,tsx
287,청년 정책,청년 내일채움공제 조건 | 내일채움공제 중도 해지 불이익,청년-내일채움공제-조건,청년 내일채움공제,내일채움공제 조건,내일채움공제 중도 해지,내일채움공제 만기 수령,청년 내일채움공제 가입 조건과 중도 해지 시 발생하는 불이익을 알려드려요.,청년 내일채움공제란?,가입 조건은 무엇인가요?,만기 시 얼마를 받나요?,중도 해지하면 어떻게 되나요?,대기,tsx
288,교육/장학,국가장학금 신청 방법 | 국가장학금 소득분위 기준 2026,국가장학금-신청-방법,국가장학금 신청,국가장학금 소득분위,국가장학금 금액,국가장학금 신청 기간,2026년 국가장학금 신청 방법과 소득분위별 지원 금액 기준을 알려드려요.,국가장학금이란 무엇인가요?,소득분위 기준은 어떻게 되나요?,국가장학금 신청 방법은?,소득분위별 지원 금액은 얼마인가요?,대기,tsx
