번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
212,세금,법인세 신고 기간 방법 | 중소기업 세율 과세표준 계산,법인세-신고-기간-방법,법인세 신고 기간,신고 방법,중소기업 세율,과세표준 계산,"법인세를 언제 어떻게 신고해야 하는지 아시나요? 중소기업 세율과 과세표준 계산 방법을 알려드려요.",법인세 신고 기간은 언제인가요?,법인세 신고 방법은 어떻게 되나요?,중소기업 법인세 세율은 얼마인가요?,법인세 과세표준 계산 방법은 어떻게 되나요?,신규,wiki-md
213,세금,근로소득 간이세액표 적용 방법 | 원천징수 월급 세금 계산,근로소득-간이세액표-적용-방법,간이세액표 적용 방법,원천징수 계산,월급 세금,간이세액표 보는 법,"월급에서 매달 세금이 얼마나 빠지는지 궁금하셨나요? 간이세액표 보는 법과 원천징수 계산 방법을 알려드려요.",근로소득 간이세액표란 무엇인가요?,간이세액표 적용 방법은 어떻게 되나요?,원천징수 월급 세금 계산 방법은 어떻게 되나요?,간이세액표 80% 100% 120% 차이는 무엇인가요?,신규,wiki-md
214,세금,비사업용 토지 양도소득세 | 중과세율 장기보유 공제 계산 방법,비사업용-토지-양도소득세,비사업용 토지 양도세,중과세율 계산,장기보유 공제,토지 양도 세금,"농지나 나대지를 팔면 양도소득세가 중과된다는 거 알고 계셨나요? 비사업용 토지 세율과 장기보유공제를 알려드려요.",비사업용 토지 양도소득세 세율은 얼마인가요?,비사업용 토지 장기보유 공제는 어떻게 되나요?,비사업용 토지 양도소득세 계산 방법은 어떻게 되나요?,비사업용 토지 양도소득세 줄이는 방법은 무엇인가요?,신규,wiki-md
215,세금,종합소득세 환급금 조회 방법 | 지급 시기 계좌 신청 절차,종합소득세-환급금-조회-방법,종합소득세 환급금,조회 방법,지급 시기,계좌 신청,"종합소득세 신고 후 환급금이 얼마인지 조회하는 방법 아시나요? 지급 시기와 계좌 신청 방법을 알려드려요.",종합소득세 환급금 조회 방법은 어떻게 되나요?,종합소득세 환급금 지급 시기는 언제인가요?,종합소득세 환급금 계좌 신청 방법은 어떻게 되나요?,종합소득세 환급금이 안 들어왔을 때 어떻게 하나요?,신규,wiki-md
216,부동산,청약 가점 계산 방법 | 무주택 기간 부양가족 청약저축 점수,청약-가점-계산-방법,청약 가점 계산,무주택 기간 점수,부양가족 점수,청약저축 점수,"내 청약 가점이 몇 점인지 계산해보셨나요? 무주택 기간·부양가족·청약저축 점수 계산 방법을 알려드려요.",청약 가점 계산 방법은 어떻게 되나요?,청약 가점 무주택 기간 점수는 어떻게 계산하나요?,청약 가점 부양가족 점수는 어떻게 되나요?,청약 가점 청약저축 점수는 어떻게 되나요?,신규,wiki-md
217,부동산,재건축 초과이익환수제 | 조합원 부담금 계산 면제 기준 방법,재건축-초과이익환수제,재건축 초과이익환수제,조합원 부담금,계산 방법,면제 기준,"재건축이 끝나면 이익의 최대 50%를 세금으로 내야 한다는 거 알고 계셨나요? 부담금 계산과 면제 기준을 알려드려요.",재건축 초과이익환수제란 무엇인가요?,재건축 초과이익 조합원 부담금은 어떻게 계산하나요?,재건축 초과이익환수 면제 기준은 무엇인가요?,재건축 초과이익환수 납부 방법은 어떻게 되나요?,신규,wiki-md
218,부동산,전세보증금 못 받을 때 방법 | 임대인 거부 내용증명 소송 절차,전세보증금-못받을-때-방법,전세보증금 못 받을 때,임대인 거부 대응,내용증명 발송,소송 절차,"전세 만료 후 보증금을 못 받으면 당황하지 말고 이 순서대로 하세요. 내용증명부터 소송까지 절차를 알려드려요.",전세보증금 못 받을 때 어떻게 해야 하나요?,전세보증금 반환 내용증명 발송 방법은 어떻게 되나요?,전세보증금 반환 소송 절차는 어떻게 되나요?,전세보증금 강제집행 방법은 어떻게 되나요?,신규,wiki-md
219,부동산,오피스텔 주거용 업무용 차이 | 취득세 부가세 주택수 포함 여부,오피스텔-주거용-업무용-차이,오피스텔 주거용 업무용,취득세 차이,부가세 여부,주택수 포함,"오피스텔을 주거용으로 쓰면 주택수에 포함된다는 거 알고 계셨나요? 취득세·부가세 차이와 주의사항을 알려드려요.",오피스텔 주거용 업무용 차이는 무엇인가요?,오피스텔 주거용 취득세는 얼마인가요?,오피스텔 업무용 부가세는 어떻게 되나요?,오피스텔 주거용이면 주택수에 포함되나요?,신규,wiki-md
220,법률,양육비 미지급 강제집행 방법 | 이행명령 감치 신청 절차,양육비-미지급-강제집행,양육비 미지급 강제집행,이행명령 신청,감치 신청 절차,양육비 집행,"양육비를 안 주는 전 배우자에게 강제집행을 신청할 수 있다는 거 아시나요? 이행명령과 감치 신청 방법을 알려드려요.",양육비 미지급 강제집행 방법은 어떻게 되나요?,양육비 이행명령 신청 방법은 어떻게 되나요?,양육비 감치 신청이란 무엇이고 어떻게 하나요?,양육비 미지급 소멸시효는 얼마인가요?,신규,wiki-md
221,법률,소멸시효 완성 채무 대응 방법 | 시효 중단 채권자 추심 대처,소멸시효-완성-채무-대응,소멸시효 완성 채무,시효 중단 방법,채권자 추심 대처,소멸시효 완성,"소멸시효가 지난 채무는 갚지 않아도 된다는 거 알고 계셨나요? 시효 중단 방법과 채권자 추심 대처법을 알려드려요.",소멸시효 완성 채무란 무엇인가요?,소멸시효 중단 방법은 무엇인가요?,소멸시효 완성 후 채권자 추심에 어떻게 대응하나요?,채무 소멸시효 기간은 어떻게 되나요?,신규,wiki-md
