번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
192,연말정산,연말정산 교육비 공제 대상 항목 | 학원비 대학원비 국외교육비 여부,연말정산-교육비-공제-대상-항목,교육비 공제 대상,학원비 공제 여부,대학원비 공제,국외교육비 여부,"연말정산 교육비 공제가 학원비는 안 되고 대학등록금은 된다는 거 알고 계셨나요? 공제 되는 항목과 안 되는 항목을 알려드려요.",연말정산 교육비 공제 대상 항목은 무엇인가요?,연말정산 학원비 공제가 되나요?,연말정산 대학원비 교육비 공제가 되나요?,연말정산 국외교육비 공제가 되나요?,신규,wiki-md
193,연말정산,연말정산 기부금 공제 한도 종류 | 법정 지정 정치자금 공제율 차이,연말정산-기부금-공제-한도-종류,기부금 공제 한도,법정 지정 기부금,정치자금 공제율,기부금 종류 차이,"기부금도 종류에 따라 공제율이 다르다는 거 알고 계셨나요? 법정·지정·정치자금 기부금 한도와 공제율을 알려드려요.",연말정산 기부금 공제 종류는 무엇인가요?,연말정산 법정기부금 공제 한도는 얼마인가요?,연말정산 지정기부금 공제 한도는 얼마인가요?,연말정산 정치자금 기부금 공제율은 얼마인가요?,신규,wiki-md
194,연말정산,연말정산 중소기업 취업자 감면 | 5년간 90% 소득세 감면 조건 신청,연말정산-중소기업-취업자-감면,중소기업 취업자 감면,5년간 90% 감면,소득세 감면 조건,감면 신청 방법,"중소기업에 취직하면 5년간 소득세를 90%까지 감면받을 수 있다는 거 알고 계셨나요? 조건과 신청 방법을 알려드려요.",연말정산 중소기업 취업자 감면 조건은 무엇인가요?,중소기업 취업자 소득세 감면 비율은 얼마인가요?,중소기업 취업자 감면 신청 방법은 어떻게 되나요?,중소기업 취업자 감면 제외 대상은 누구인가요?,신규,wiki-md
195,연말정산,연말정산 소득공제 세액공제 차이 | 어떤 게 더 유리한지 비교 계산,연말정산-소득공제-세액공제-차이,소득공제 세액공제 차이,연말정산 공제 비교,어떤 게 유리,공제 계산 방법,"소득공제와 세액공제가 헷갈리셨나요? 어떤 게 더 유리한지 차이와 계산 방법을 알려드려요.",연말정산 소득공제와 세액공제 차이는 무엇인가요?,소득공제와 세액공제 중 어떤 게 더 유리한가요?,연말정산 소득공제 계산 방법은 어떻게 되나요?,연말정산 세액공제 계산 방법은 어떻게 되나요?,신규,wiki-md
196,법률,사기죄 성립 요건 | 민사 형사 차이 고소 방법 처벌 기준,사기죄-성립-요건,사기죄 성립 요건,민사 형사 차이,사기 고소 방법,사기 처벌 기준,"사기를 당했을 때 민사와 형사 중 어떤 방법이 더 유리한지 알고 계세요? 사기죄 성립 요건과 고소 방법을 알려드려요.",사기죄 성립 요건은 무엇인가요?,사기죄 민사와 형사 차이는 무엇인가요?,사기 고소 방법은 어떻게 되나요?,사기죄 처벌 기준은 어떻게 되나요?,신규,wiki-md
197,법률,차용증 작성 방법 | 개인 간 금전거래 법적 효력 공증 여부,차용증-작성-방법-법적-효력,차용증 작성 방법,개인 간 금전거래,법적 효력,공증 여부,"지인에게 돈을 빌려줄 때 차용증을 써두면 법적 효력이 있다는 거 알고 계셨나요? 작성 방법과 공증 여부를 알려드려요.",차용증 작성 방법은 어떻게 되나요?,차용증 법적 효력은 어떻게 되나요?,차용증 공증 받으면 어떻게 달라지나요?,차용증 없이 돈 빌려줬을 때 받을 수 있나요?,신규,wiki-md
198,법률,이혼 재산분할 기준 | 혼인 기간 기여도 소송 비율 방법,이혼-재산분할-기준,이혼 재산분할,혼인 기간 기여도,재산분할 소송,비율 기준,"이혼할 때 재산을 무조건 반반 나누는 건 아니라는 거 알고 계셨나요? 혼인 기간과 기여도 기준 분할 방법을 알려드려요.",이혼 재산분할 기준은 무엇인가요?,이혼 재산분할 비율은 어떻게 정해지나요?,이혼 재산분할 소송 방법은 어떻게 되나요?,이혼 재산분할 대상에는 무엇이 포함되나요?,신규,wiki-md
199,법률,상속 포기 한정승인 차이 | 신청 기한 3개월 방법 절차 비교,상속-포기-한정승인-차이,상속 포기 한정승인,신청 기한 3개월,상속 포기 방법,한정승인 절차,"부모님 빚이 있을 때 상속 포기와 한정승인 중 어떤 게 유리한지 알고 계세요? 차이와 신청 방법을 알려드려요.",상속 포기와 한정승인 차이는 무엇인가요?,상속 포기 신청 기한은 언제까지인가요?,한정승인 신청 방법은 어떻게 되나요?,상속 포기 후 채무는 어떻게 되나요?,신규,wiki-md
200,복지,아동수당 신청 방법 2026 | 만 8세 미만 지급 금액 조건,아동수당-신청-방법-2026,아동수당 신청 방법,만 8세 미만,지급 금액,아동수당 조건,"아이가 태어나면 만 8세까지 아동수당을 받을 수 있다는 거 알고 계세요? 2026년 신청 방법과 지급 금액을 알려드려요.",아동수당 신청 방법은 어떻게 되나요?,아동수당 지급 대상 나이는 어떻게 되나요?,아동수당 지급 금액은 얼마인가요?,아동수당 신청 시 필요 서류는 무엇인가요?,신규,wiki-md
201,복지,출산지원금 2026 지역별 차이 | 첫째 둘째 셋째 지원금 금액 비교,출산지원금-2026-지역별-차이,출산지원금 2026,지역별 차이,첫째 둘째 셋째,지원금 금액 비교,"같은 아이를 낳아도 사는 지역에 따라 출산지원금이 천차만별이라는 거 아시나요? 지역별·출생순위별 금액을 알려드려요.",출산지원금 2026년 지역별 차이는 어떻게 되나요?,첫째 출산지원금은 얼마인가요?,둘째 이상 출산지원금은 얼마인가요?,출산지원금 신청 방법은 어떻게 되나요?,신규,wiki-md
202,복지,청년월세 한시지원 신청 자격 | 소득 기준 보증금 한도 지원 방법,청년월세-한시지원-신청-자격,청년월세 지원 신청,소득 기준,보증금 한도,지원 방법,"청년이라면 월세 일부를 정부가 지원해주는 제도가 있다는 거 아시나요? 신청 자격과 소득 기준을 알려드려요.",청년월세 한시지원 신청 자격은 무엇인가요?,청년월세 지원 소득 기준은 얼마인가요?,청년월세 지원 한도는 얼마인가요?,청년월세 한시지원 신청 방법은 어떻게 되나요?,신규,wiki-md
203,복지,문화누리카드 신청 자격 2026 | 기초수급자 차상위 지원 금액 사용처,문화누리카드-신청-자격-2026,문화누리카드 신청,기초수급자 차상위,지원 금액,사용처 종류,"문화누리카드로 공연·영화·여행까지 쓸 수 있다는 거 알고 계세요? 2026년 신청 자격과 지원 금액을 알려드려요.",문화누리카드 신청 자격은 무엇인가요?,문화누리카드 2026년 지원 금액은 얼마인가요?,문화누리카드 사용처는 어디인가요?,문화누리카드 신청 방법은 어떻게 되나요?,신규,wiki-md
204,부동산,전세 월세 전환 계산 방법 | 전월세 전환율 적정 기준 계산기,전세-월세-전환-계산-방법,전세 월세 전환,전월세 전환율,적정 기준,전환 계산기,"전세를 월세로 바꿀 때 적정 월세가 얼마인지 아시나요? 전월세 전환율 기준과 계산 방법을 알려드려요.",전세를 월세로 전환하는 계산 방법은 어떻게 되나요?,전월세 전환율 기준은 어떻게 되나요?,전세 월세 전환 적정 월세는 어떻게 계산하나요?,전월세 전환율이 너무 높으면 어떻게 해야 하나요?,신규,wiki-md
205,부동산,빌라 깡통전세 확인 방법 | 전세가율 위험 신호 피하는 법,빌라-깡통전세-확인-방법,빌라 깡통전세,전세가율 확인,위험 신호,깡통전세 피하는 법,"빌라 전세가율이 80%를 넘으면 깡통전세 위험이 있다는 거 알고 계셨나요? 확인 방법과 피하는 법을 알려드려요.",빌라 깡통전세란 무엇인가요?,빌라 깡통전세 확인 방법은 어떻게 되나요?,빌라 전세가율 위험 신호는 무엇인가요?,빌라 깡통전세 피하는 방법은 무엇인가요?,신규,wiki-md
206,부동산,아파트 관리비 항목 이의신청 | 과도한 관리비 분쟁 방법 기준,아파트-관리비-항목-이의신청,아파트 관리비 항목,과도한 관리비,이의신청 방법,관리비 분쟁,"아파트 관리비가 너무 많이 나왔다면 이의신청을 할 수 있다는 거 알고 계셨나요? 항목 구성과 분쟁 방법을 알려드려요.",아파트 관리비 항목은 어떻게 구성되나요?,아파트 관리비 이의신청 방법은 어떻게 되나요?,아파트 관리비 과도한 경우 기준은 무엇인가요?,아파트 관리비 분쟁 신고 방법은 어떻게 되나요?,신규,wiki-md
207,부동산,신축 아파트 하자보수 청구 방법 | 입주 후 1년 2년 하자담보 책임,신축-아파트-하자보수-청구,하자보수 청구 방법,1년 2년 하자담보,하자 신고 방법,하자담보 책임,"새 아파트 입주 후 하자가 생기면 건설사에 수리를 요구할 수 있다는 거 알고 계세요? 기간별 하자담보 책임을 알려드려요.",신축 아파트 하자보수 청구 방법은 어떻게 되나요?,아파트 하자담보 책임 기간은 얼마인가요?,아파트 하자 신고 방법은 어떻게 되나요?,아파트 하자보수 거부 시 어떻게 해야 하나요?,신규,wiki-md
208,근로/노동,수습기간 해고 요건 | 3개월 수습 급여 80% 즉시 해고 조건,수습기간-해고-요건,수습기간 해고 요건,3개월 수습 급여,80% 지급 기준,즉시 해고 조건,"수습 기간에도 함부로 해고할 수 없다는 거 알고 계셨나요? 수습 해고 요건과 급여 80% 기준을 알려드려요.",수습기간 해고 요건은 무엇인가요?,수습기간 급여 80% 지급 기준은 무엇인가요?,수습기간 중 즉시 해고가 가능한 조건은 무엇인가요?,수습기간 부당해고 신고 방법은 어떻게 되나요?,신규,wiki-md
209,근로/노동,기간제 무기계약직 전환 조건 | 2년 초과 기간제 자동 전환 여부,기간제-무기계약직-전환-조건,기간제 무기계약직,2년 초과 전환,자동 전환 여부,기간제 전환 조건,"기간제로 2년을 초과하면 자동으로 무기계약직이 된다는 거 알고 계셨나요? 전환 조건과 예외 사항을 알려드려요.",기간제 무기계약직 전환 조건은 무엇인가요?,기간제 2년 초과 시 자동 전환이 되나요?,기간제 무기계약직 전환 예외 조건은 무엇인가요?,기간제 무기계약직 전환 거부 시 신고 방법은 어떻게 되나요?,신규,wiki-md
210,근로/노동,직장 내 성희롱 신고 방법 | 사업주 의무 피해자 보호 처리 절차,직장-내-성희롱-신고-방법,직장 내 성희롱 신고,사업주 의무,피해자 보호,처리 절차,"직장 내 성희롱을 당하면 회사와 고용노동부 두 곳에 신고할 수 있어요. 신고 방법과 피해자 보호 절차를 알려드려요.",직장 내 성희롱 신고 방법은 어떻게 되나요?,직장 내 성희롱 사업주 의무는 무엇인가요?,직장 내 성희롱 피해자 보호 규정은 무엇인가요?,직장 내 성희롱 처리 절차는 어떻게 되나요?,신규,wiki-md
211,근로/노동,고용보험 가입 여부 확인 방법 | 미가입 사업장 신고 피보험자격,고용보험-가입-여부-확인,고용보험 가입 여부,피보험자격 확인,미가입 신고,고용보험 확인 방법,"내가 고용보험에 가입돼 있는지 확인하는 방법이 있다는 거 아시나요? 미가입 사업장 신고 방법도 함께 알려드려요.",고용보험 가입 여부 확인 방법은 어떻게 되나요?,고용보험 미가입 사업장 신고 방법은 어떻게 되나요?,고용보험 피보험자격 확인 청구 방법은 어떻게 되나요?,고용보험 미가입 시 불이익은 무엇인가요?,신규,wiki-md
