번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
332,외국인,외국인 건강보험 가입 방법 | 외국인 건강보험료 계산,외국인-건강보험-가입-방법,외국인 건강보험 가입,외국인 건강보험료 계산,외국인 건강보험 의무,외국인 건강보험 혜택,한국에 거주하는 외국인이 건강보험에 가입하는 방법과 보험료 계산 기준을 알려드려요.,외국인도 건강보험 가입이 의무인가요?,외국인 건강보험 가입 방법은?,외국인 건강보험료 계산 방법은?,외국인 건강보험 혜택은?,대기,tsx
333,외국인,외국인 등록증 발급 방법 | 외국인 등록증 재발급 신청,외국인-등록증-발급-방법,외국인 등록증 발급,외국인 등록증 재발급,외국인 등록증 발급 기간,외국인 등록 필요 서류,한국에 처음 오거나 등록증을 잃어버렸을 때 외국인 등록증 발급받는 방법을 알려드려요.,외국인 등록증이란 무엇인가요?,외국인 등록증 발급 방법은?,외국인 등록증 재발급 신청 방법은?,외국인 등록증 발급 기간은?,대기,tsx
334,외국인,F4 비자 취업 조건 | 재외동포 비자 신청 방법,f4-비자-취업-조건,F4 비자 취업 조건,재외동포 비자 신청,F4 비자 불가 직종,재외동포 F4 비자,재외동포 F-4 비자로 한국에서 취업할 수 있는 조건과 비자 신청 방법을 알려드려요.,F4 비자란 무엇인가요?,F4 비자 취업 가능 조건은?,재외동포 F4 비자 신청 방법은?,F4 비자로 할 수 없는 직종은?,대기,tsx
335,외국인,외국인 근로자 소득세 신고 | 외국인 세금 우대 조건,외국인-근로자-소득세-신고,외국인 근로자 소득세,외국인 세금 우대,외국인 소득세 신고 방법,외국인 단일세율,한국에서 일하는 외국인이 소득세를 신고하는 방법과 세금 우대 조건을 알려드려요.,외국인 근로자도 소득세를 내야 하나요?,외국인 소득세 신고 방법은?,외국인 세금 우대 조건은?,외국인 근로자 단일세율 적용은?,대기,tsx
336,세금,부가세 환급 신청 방법 | 일반과세자 부가세 환급 조건,부가세-환급-신청-방법,부가세 환급 신청,일반과세자 부가세 환급,부가세 환급 기간,부가세 환급 조건,사업자가 부가가치세를 환급받는 신청 방법과 일반과세자 환급 조건을 알려드려요.,부가세 환급이란 무엇인가요?,부가세 환급 조건은?,부가세 환급 신청 방법은?,부가세 환급까지 얼마나 걸리나요?,대기,tsx
337,세금,근로장려금 신청 방법 | 2026 근로장려금 지급 금액,근로장려금-신청-방법,근로장려금 신청 방법,근로장려금 지급 금액 2026,근로장려금 신청 자격,근로장려금 소득 기준,2026년 근로장려금 신청 방법과 소득 수준별 지급 금액 기준을 알려드려요.,근로장려금이란 무엇인가요?,근로장려금 신청 자격은?,근로장려금 신청 방법은?,2026년 근로장려금 지급 금액은?,대기,tsx
338,세금,자녀장려금 신청 방법 | 자녀장려금 소득 기준 2026,자녀장려금-신청-방법,자녀장려금 신청 방법,자녀장려금 소득 기준 2026,자녀장려금 지급 금액,자녀장려금 신청 자격,2026년 자녀장려금 신청 방법과 소득 기준별 지급 금액을 알려드려요.,자녀장려금이란 무엇인가요?,자녀장려금 신청 자격은?,2026년 소득 기준은?,자녀장려금 신청 방법은?,대기,tsx
339,세금,세금 체납 분납 신청 | 국세 체납 납부 유예 방법,세금-체납-분납-신청,세금 체납 분납 신청,국세 납부 유예,세금 분납 조건,체납 세금 처리 방법,세금을 한 번에 내기 어려울 때 분납 신청하는 방법과 납부 유예 받는 조건을 알려드려요.,세금 체납 분납이란 무엇인가요?,세금 분납 신청 조건은?,세금 체납 분납 신청 방법은?,국세 납부 유예 신청 방법은?,대기,tsx
340,부동산,아파트 분양권 전매 제한 | 분양권 전매 가능 시점,아파트-분양권-전매-제한,분양권 전매 제한,분양권 전매 가능 시점,분양권 전매 세금,전매 제한 기간,아파트 분양권 전매 제한 기간과 언제부터 전매가 가능한지 알려드려요.,분양권 전매 제한이란 무엇인가요?,분양권 전매 제한 기간은?,분양권 전매 가능 시점은?,분양권 전매 시 세금은?,대기,tsx
341,부동산,부동산 중개 수수료 계산 방법 | 복비 아끼는 방법,부동산-중개수수료-계산,부동산 중개 수수료 계산,복비 아끼는 방법,중개 수수료 협상,중개 수수료 기준,부동산 중개 수수료 계산 방법과 합법적으로 복비를 아끼는 방법을 알려드려요.,부동산 중개 수수료 기준은?,중개 수수료 계산 방법은?,복비 협상이 가능한가요?,중개 수수료 영수증 발급 방법은?,대기,tsx
